Name,City,Address,Website Link,Phone Number,Description of Services
Ann Arbor Meals on Wheels,Ann Arbor,"3621 S. State St. Suite 650",https://www.uofmhealth.org/patient-visitor-guide/aameals-on-wheels/home,(734) 998-6686,Meals delivered Monday-Saturday to homebound adults.
Brown Chapel A.M.E Church,Ypsilanti,1043 W. Michigan Ave,bcamecy.org,(734) 482-7050,Hot meals and food distribution on Fridays 11am-12:30pm.
Bryant Community Center,Ann Arbor,3 W. Eden Ct.,https://www.canwashtenaw.org/bryant,(734) 477-0292,Food distributions/pantry from 10am-3pm Mondays-Thursdays and 10am-2pm Fridays.
Catholic Social Services,Ann Arbor,815 Taylor St.,https://csswashtenaw.org/food-housing/emergency-food-program/,(734) 662-4462,Grocery/personal care item distribution on monthly or emergency basis. Referrals to other service agencies 8:30am-12pm Tuesdays.
Christian Life Center Church,Ypsilanti,2146 Moeller Ave,http://www.christianlifecenterchurch.org,(734) 485-4670,Food distribution 2pm-4pm every 2nd and 4th Tuesday.
Corner Health Center,Ypsilanti,47 N. Huron St.,www.cornerhealth.org,(734) 484-3600,"Pantry open during business hours. Patients pick a bag of food, non-patients recieve a random bag."
Emmanuel Lutheran Church,Ypsilanti,201 N. River St.,http://emmanuelypsi.org,(734) 482-7121,Food distribution 3-3:45pm on Wednesdays and Thursdays. Hot (free) dinners served 5pm Tuesdays.
Faith in Action - Dexter,Dexter,7275 W. Joy Rd. ,http://www.faithinaction1.org,(734) 426-7002,"Food pantry open 9am-4pm Mondays, 12pm-7pm Wednesdays, 10am-2pm Fridays."
First Baptist Church of Ann Arbor,Ann Arbor,517 E. Washington St. ,https://www.fbca2.org/,(734) 663-9376,Hot meals served at 5:30pm Tuesdays.
Food Gatherers Map & List of Programs,Ann Arbor,1 Carrot Way,http://www.foodgatherers.org/?module=Page&class=Pantries,(734) 761-2796,Partners with over 150 other programs in Washtenaw County. 
Hope Clinic,Ypsilanti,518 Harriet St. ,http://www.thehopeclinic.org/get-food,(734) 484-2989,Food pantry for families and individuals in need (one appointment per family per month). Groceries and fresh produce without appointment at Farm Stand on Thursdays and Saturdays (delivery service option). Hot (free) meals and weekend meals in the evenings. 
Jewish Community Center,Ann Arbor,2935 Birch Hollow Dr.,https://jccannarbor.org/lunch-cafe/,(734) 971-0990,Hot (low cost) lunches 12-12:30pm Tuesdays and Thursdays (call one day in advance for reservation).
Jewish Family Services,Ann Arbor,"2245 S. State St., Ste. 200",https://jfsannarbor.org/programs-services/clinical-community-services/food-pantry,(734) 769-0209,Food pantry available to individuals and families. Delivery service for homebound older adults.
Lincoln Senior Center,Ypsilanti,8970 Whittaker Rd. ,http://www.lincolnk12.org/community-partners/lincoln-golden-ages/,(734) 483-8366,Hot meal availability.
MI Bridges,,,https://newmibridges.michigan.gov,,Food Assistance Program for assistance buying or growing food.
Messias Temple Church,Ypsilanti,200 Harriet St. ,http://www.messiastemple.org,(734) 483-8092,Food pantry (year-round) and hot meals (October through March) 2:30-4pm Mondays.
Michigan Helping Hand Program,,,http://www.michigan.gov/helpinghand,,Help finding services for those facing economic hardship.
Packard Health - Main Address,Ann Arbor,2650 Carpenter Rd.,http://packardhealth.org/services/food-medication-transportation-assistance,(734) 971-1073,"Food pantry at Packard Main, grocery supply for clients/patients 8:30am-12pm and 1pm-4:30pm Mondays through Fridays."
Packard Health - West Address,Ann Arbor,1915 Pauline Boulevard,http://packardhealth.org/services/food-medication-transportation-assistance,(734) 926-4900,"Food pantry at Packard West, grocery supply for clients/patients. 8:30am-12pm and 1pm-4:30pm Mondays through Fridays."
Pittsfield Township Senior Center,Ann Arbor,701 W. Ellsworth Rd. ,https://www.pittsfield-mi.gov/seniors,(734) 822-2117,"Seniors 55+ hot (suggested donation) lunches 11:45 Mondays, Tuesdays, Thursdays."
SOS Community Services,Ypsilanti,114 North River St.,http://soscs.org/food-pantry,(734) 484-9945,Food pantry (three meals for each person in household) open 1-6:30pm Tuesdays and 9am-1pm Wednesdays up to 12 times per year.
